post_id,name,brand,slug,detail_url,image_filename,button_latency_cable_ms,button_latency_dongle_ms,button_latency_bluetooth_ms,stick_latency_cable_ms,stick_latency_dongle_ms,stick_latency_bluetooth_ms,latscore_wired,latscore_wireless,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,platforms,interfaces,price,date_published,tags,image_downloaded
123,PXN P5 8K,PXN,pxn-p5-8k,https://gamepadla.com/pxn-p5-8k.html,123_pxn-p5-8k.webp,1.42,2.89,21.19,5.01,6.49,26.7,A+,A,0.06,9.622692307692308,61.03,8.63,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 29.99 – $ 39.99 , find on: Amazon , Aliexpress",2025-12-19T14:10:23+02:00,android;capacitive;ios;linux;macos;switch;verified;windows,yes
213,ROG Raikiri II,Asus,rog-raikiri-ii,https://gamepadla.com/rog-raikiri-ii.html,213_rog-raikiri-ii.webp,2.38,4.21,14.06,10.96,13.59,23.28,A,B,1.34,13.93857142857143,31.76,3.46,Android;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"$ 189.99 , find on: Amazon",2025-12-25T13:14:02+02:00,android;tmr;verified;windows;xbox_one;xbox_series,yes
220,Gulikit TT Pro,Gulikit,gulikit-tt-pro,https://gamepadla.com/gulikit-tt-pro.html,220_gulikit-tt-pro.webp,2.55,4.59,3.04,1.93,3.97,2.24,A+,A+,0.8,4.233333333333333,17.1,2.67,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 70.58 , find on: Amazon , Aliexpress",2026-01-26T09:11:38+02:00,android;ios;linux;macos;switch;symmetric;tmr;verified;windows,yes
217,Gulikit TT Max,Gulikit,gulikit-tt-max,https://gamepadla.com/gulikit-tt-max.html,217_gulikit-tt-max.webp,2.54,3.51,3.22,2.03,3.54,2.41,A+,A+,0.64,6.087714285714285,37.76,5.16,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 82.34 , find on: Amazon",2026-01-14T05:44:35+02:00,android;ios;linux;macos;switch;symmetric;tmr;verified;windows,yes
206,Razer Raiju V3 Pro,Razer,razer-raiju-v3-pro,https://gamepadla.com/razer-raiju-v3-pro.html,206_razer-raiju-v3-pro.webp,2.45,8.51,,5.47,24.64,,A+,C,1.81,27.45375,88.78,7.26,Android;Linux;Playstation 5;Windows,Cable;Dongle,$ 219.99,2025-11-22T17:59:27+02:00,android;linux;ps5;symmetric;tmr;verified;windows,yes
188,Flydigi Direwolf 4,Flydigi,flydigi-direwolf-4,https://gamepadla.com/flydigi-direwolf-4.html,188_flydigi-direwolf-4.webp,5.23,6.7,20.4,10.19,9.76,32.99,A,A,3.17,18.905,50.33,6.24,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,"$ 39.99 , find on: Amazon",2025-11-06T22:23:49+02:00,android;hall;ios;switch;verified;windows,yes
214,Machenike F1,Machenike,machenike-f1,https://gamepadla.com/machenike-f1.html,214_machenike-f1.webp,1.27,2.27,,1.59,1.83,,A+,A+,0.86,8.5275,39.83,5.99,Android;iOS;Linux;Switch;Windows,Cable;Dongle,$ 115.00,2025-12-28T17:45:59+02:00,android;ios;linux;macos;switch;symmetric;tmr;verified;windows,yes
172,Nacon Revolution X Unlimited,Nacon,nacon-revolution-x-unlimited,https://gamepadla.com/nacon-revolution-x-unlimited.html,172_nacon-revolution-x-unlimited.webp,4.0,5.57,14.65,8.01,10.89,18.37,A,B,1.93,8.276666666666667,25.23,2.54,Android;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"$ 199.90 , find on: Amazon",2025-12-08T22:49:51+02:00,android;display;hall;linux;verified;windows;xbox_one;xbox_series,yes
194,BigBig Won Rainbow 3,Mojhon,bigbig-won-rainbow-3,https://gamepadla.com/bigbig-won-rainbow-3.html,194_bigbig-won-rainbow-3.webp,2.95,7.42,17.2,4.08,8.78,14.07,A+,A,0.17,6.229166666666667,22.54,4.68,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,"$ 89.99 , find on: Amazon , MiniXPC",2025-11-05T17:53:10+02:00,android;capacitive;ios;switch;verified;windows,yes
167,GameSir Nova 2 Lite,GameSir,gamesir-nova-2-lite,https://gamepadla.com/gamesir-nova-2-lite.html,167_gamesir-nova-2-lite.webp,2.36,12.73,12.34,7.99,17.11,17.03,A,B,1.64,15.15875,44.39,4.46,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 29.99 , find on: Amazon",2025-11-20T15:15:19+02:00,android;hall;ios;linux;macos;switch;verified;windows,yes
108,PXN P5,PXN,pxn-p5,https://gamepadla.com/pxn-p5.html,108_pxn-p5.webp,6.3,11.78,18.06,8.66,60.81,24.96,A,D,3.73,26.483571428571427,66.56,3.83,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 25.99 , find on: Amazon",2025-12-19T23:53:51+02:00,android;hall;ios;linux;macos;switch;verified;windows,yes
212,Thunderobot G80 Ultra,Thunderobot,thunderobot-g80-ultra,https://gamepadla.com/thunderobot-g80-ultra.html,212_thunderobot-g80-ultra.webp,6.23,14.54,21.19,12.08,39.19,23.96,B,D,3.51,19.531666666666666,59.72,14.36,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 74.99 , find on: MiniXPC",2025-12-15T11:52:48+02:00,android;hall;ios;linux;macos;switch;verified;windows,yes
162,Nintendo Switch 2 Pro Controller,Nintendo,nintendo-switch-2-pro-controller,https://gamepadla.com/nintendo-switch-2-pro-controller.html,162_nintendo-switch-2-pro-controller.webp,7.97,,,13.08,,,B,,0.38,10.370000000000001,49.93,9.46,Switch;Windows,Cable,"$ 89.99 , find on: Amazon",2025-12-23T11:35:12+02:00,nfc;potentiometers;switch;verified;windows,yes
211,Mobapad N1 HD,Mobapad,mobapad-n1-hd,https://gamepadla.com/mobapad-n1-hd.html,211_mobapad-n1-hd.webp,7.47,10.38,,52.57,68.1,,E,F,3.12,42.67714285714286,110.5,6.35,Android;iOS;Linux;Switch;Windows,Cable;Dongle,"$ 36.20 , find on: Amazon , Aliexpress",2025-12-15T11:53:46+02:00,android;hall;ios;linux;macos;nfc;switch;verified;windows,yes
1,Sony DualSense,Sony,sony-dualsense,https://gamepadla.com/sony-dualsense.html,1_sony-dualsense.webp,7.81,6.56,9.03,12.58,6.52,13.6,B,A,2.09,7.233888888888889,39.35,7.37,Android;iOS;Linux;Playstation 5;Windows,Cable;Dongle;Bluetooth,"Price range: $ 65.90 – $ 76.95 , find on: Amazon , Hyperlink 2",2025-12-26T13:27:44+02:00,android;ios;linux;macos;potentiometers;ps5;symmetric;verified;windows,yes
84,Razer Wolverine V3 Pro,Razer,razer-wolverine-v3-pro,https://gamepadla.com/razer-wolverine-v3-pro.html,84_razer-wolverine-v3-pro.webp,4.79,10.61,,13.66,32.85,,B,D,4.17,15.477500000000001,35.16,1.23,Windows;Xbox One;Xbox S/X,Cable;Dongle,$ 199.99,2025-10-28T18:19:50+02:00,hall;verified;windows;xbox_one;xbox_series,yes
159,Flydigi Apex 5,Flydigi,flydigi-apex-5,https://gamepadla.com/flydigi-apex-5.html,159_flydigi-apex-5.webp,3.01,4.9,22.28,2.82,5.54,22.98,A+,A,1.8,12.734545454545456,43.32,6.4,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,"$ 169.99 , find on: Amazon , Aliexpress , MiniXPC",2025-07-18T23:26:00+03:00,android;display;hall;ios;macos;switch;verified;windows,yes
205,Hori Fighting Stick Alpha XS,Hori,hori-fighting-stick-alpha-xs,https://gamepadla.com/hori-fighting-stick-alpha-xs.html,205_hori-fighting-stick-alpha-xs.webp,4.17,,,,,,,,1.74,4.9575,13.08,2.6,,Cable,"$ 199.99 , find on: Amazon",,,yes
204,8BitDo 64 Bluetooth Controller,8BitDo,8bitdo-64-bluetooth-controller,https://gamepadla.com/8bitdo-64-bluetooth-controller.html,204_8bitdo-64-bluetooth-controller.webp,8.31,,14.09,,,,,,2.8,11.2,90.96,4.38,Android;Linux;Switch;Windows,Cable;Bluetooth,"$ 39.99 , find on: Amazon",,android;hall;linux;macos;switch;windows,yes
201,Fantech EOS Pro II S,Fantech,fantech-eos-pro-ii-s,https://gamepadla.com/fantech-eos-pro-ii-s.html,201_fantech-eos-pro-ii-s.webp,3.89,17.54,28.38,8.58,47.87,52.0,A,E,3.03,26.376666666666665,78.37,8.48,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,$ 39.99,2025-12-19T00:15:55+02:00,android;ios;linux;macos;switch;tmr;windows,yes
96,PowerA OPS V3 Pro,PowerA,powera-ops-v3-pro,https://gamepadla.com/powera-ops-v3-pro.html,96_powera-ops-v3-pro.webp,2.85,4.95,13.11,5.04,17.78,19.12,A+,B,2.06,10.475,27.23,3.97,Android;iOS;Linux;Windows,Cable;Dongle;Bluetooth,"$ 99.99 , find on: Amazon",2025-12-22T20:30:12+02:00,android;hall;ios;linux;verified;windows,yes
198,Razer Wolverine V3 TE 8K,Razer,razer-wolverine-v3-tournament-edition-8k-pc,https://gamepadla.com/razer-wolverine-v3-tournament-edition-8k-pc.html,198_razer-wolverine-v3-tournament-edition-8k-pc.webp,2.21,,,6.45,,,A,,1.43,4.3999999999999995,9.94,0.56,Linux;Windows,Cable,"$ 119.99 , find on: Amazon",2025-11-20T20:41:09+02:00,linux;tmr;windows,yes
199,GuliKit Elves 2 Pro,GuliKit,gulikit-elves-2-pro,https://gamepadla.com/gulikit-elves-2-pro.html,199_gulikit-elves-2-pro.webp,5.34,,25.24,22.35,,55.05,B,F,2.48,31.439999999999998,68.88,5.24,Android;iOS;Linux;Switch;Windows,Cable;Bluetooth,"$ 39.99 , find on: Amazon",2026-03-09T03:58:00+02:00,android;hall;ios;linux;macos;switch;symmetric;windows,yes
196,8BitDo Arcade Controller,8BitDo,8bitdo-arcade-controller,https://gamepadla.com/8bitdo-arcade-controller.html,196_8bitdo-arcade-controller.webp,4.82,7.09,16.19,,,,,,3.5,9.366666666666667,42.21,7.76,,Cable;Dongle;Bluetooth,,,bluetooth;cable;dongle;prometheus,yes
12,Nintendo Switch Pro Controller,Nintendo,nintendo-switch-pro-controller,https://gamepadla.com/nintendo-switch-pro-controller.html,12_nintendo-switch-pro-controller.webp,21.81,,16.81,22.15,,21.14,D,D,5.94,20.4775,65.22,12.71,Android;iOS;Linux;Switch;Windows,Cable;Bluetooth,"$ 69.00 , find on: Amazon",2023-07-26T13:09:16+03:00,android;ios;linux;macos;nfc;potentiometers;switch;verified;windows,yes
126,Sony Dualshock 3,Sony,sony-dualshock-3,https://gamepadla.com/sony-dualshock-3.html,126_sony-dualshock-3.webp,11.43,,12.91,13.34,,14.85,C,C,5.56,13.1325,32.5,6.42,Android;Linux;Windows,Cable;Bluetooth,$ 49.99 Discontinued,,android;linux;macos;potentiometers;ps3;symmetric;verified;windows,yes
193,EasySMX X05 Pro,EasySMX,easysmx-x05-pro,https://gamepadla.com/easysmx-x05-pro.html,193_easysmx-x05-pro.webp,4.95,10.51,13.96,13.58,35.82,19.84,B,D,2.82,19.513571428571428,44.23,7.38,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 29.99 , find on: Aliexpress",2026-02-10T11:45:15+02:00,android;hall;ios;linux;macos;switch;verified;windows,yes
179,EasySMX S10,EasySMX,easysmx-s10,https://gamepadla.com/easysmx-s10.html,179_easysmx-s10.webp,5.13,,14.48,7.22,,47.16,A,E,2.62,27.536,69.33,3.8,Android;iOS;Linux;Switch;Windows,Cable;Bluetooth,"$ 59.99 , find on: Amazon",2026-03-20T01:12:21+02:00,android;ios;linux;macos;nfc;switch;tmr;verified;windows,yes
192,GameSir X5 Lite,GameSir,gamesir-x5-lite,https://gamepadla.com/gamesir-x5-lite.html,192_gamesir-x5-lite.webp,7.0,,,8.71,,,A,,4.91,7.8325000000000005,11.18,1.1,,Cable,,,,yes
191,ZIKE Z331,ZIKE,zike-z331,https://gamepadla.com/zike-z331.html,191_zike-z331.webp,7.09,,,29.85,,,C,,5.58,20.97,40.36,1.06,,Cable,,,,yes
67,GameSir G8 Galileo,Gamesir,gamesir-g8-galileo,https://gamepadla.com/gamesir-g8-galileo.html,67_gamesir-g8-galileo.webp,4.28,,,7.82,,,A,,2.09,6.050000000000001,10.38,1.28,,Cable,"Price range: $ 58.99 – $ 79.99 , find on: Amazon , Aliexpress",,cable;gpdl;prometheus;wired,yes
190,GameSir X5s,GameSir,gamesir-x5s,https://gamepadla.com/gamesir-x5s.html,190_gamesir-x5s.webp,17.24,,29.72,,,31.52,,E,12.07,25.965714285714284,45.83,5.71,Android,Cable;Bluetooth,,,android,yes
187,ZD Classic Legend,ZD,zd-classic-legend,https://gamepadla.com/zd-classic-legend.html,187_zd-classic-legend.webp,8.43,10.69,19.57,15.53,35.78,40.11,B,D,3.27,31.225,83.81,9.68,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 29.99 , find on: Amazon",2026-01-27T09:22:43+02:00,android;display;hall;ios;linux;switch;verified;windows,yes
186,BattlerGC Pro,Retro Fighters,battlergc-pro,https://gamepadla.com/battlergc-pro.html,186_battlergc-pro.webp,18.62,28.54,17.02,15.96,21.92,11.07,C,C,6.99,20.4675,50.42,7.11,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 64.95 , find on: Amazon",2026-05-16T21:26:16+03:00,android;hall;ios;linux;macos;switch;windows,yes
180,BEITONG Kunpeng 70,Beitong,beitong-kunpeng-70,https://gamepadla.com/beitong-kunpeng-70.html,180_beitong-kunpeng-70.webp,1.55,4.43,11.93,12.42,14.86,17.21,A,B,0.2,6.624545454545455,36.59,6.22,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 129.99 , find on: MiniXPC",2025-09-01T14:46:34+03:00,android;capacitive;ios;linux;switch;verified;windows,yes
184,GameSir G7 Pro WUCHANG,GameSir,gamesir-g7-pro-wuchang,https://gamepadla.com/gamesir-g7-pro-wuchang.html,184_gamesir-g7-pro-wuchang.webp,2.26,4.91,5.62,4.99,9.86,10.24,A+,A,1.69,6.3133333333333335,27.37,3.79,Android;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"$ 99.99 , find on: Aliexpress",2025-10-14T11:21:32+03:00,android;linux;tmr;verified;windows;xbox_one;xbox_series,yes
183,Victrix Pro BFG Reloaded Xbox,Turtle Beach,victrix-pro-bfg-reloaded-xbox,https://gamepadla.com/victrix-pro-bfg-reloaded-xbox.html,183_victrix-pro-bfg-reloaded-xbox.webp,5.35,15.53,,15.65,24.35,,B,D,3.17,15.22,44.48,4.79,Android;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle,"$ 209.99 , find on: Amazon",2026-02-21T17:07:47+02:00,android;hall;linux;macos;verified;windows;xbox_one;xbox_series,yes
181,Victrix Pro BFG Reloaded,Turtle Beach,victrix-pro-bfg-reloaded,https://gamepadla.com/victrix-pro-bfg-reloaded.html,181_victrix-pro-bfg-reloaded.webp,9.83,15.24,,17.19,26.2,,B,D,7.82,17.115000000000002,59.25,6.56,Android;iOS;Linux;Playstation 4;Playstation 5;Windows,Cable;Dongle,"$ 209.99 , find on: Amazon",2025-12-17T11:02:23+02:00,android;hall;ios;linux;macos;ps4;ps5;verified;windows,yes
146,8BitDo Ultimate 3-mode Controller for Xbox,8BitDo,8bitdo-ultimate-3-mode-controller-for-xbox,https://gamepadla.com/8bitdo-ultimate-3-mode-controller-for-xbox.html,146_8bitdo-ultimate-3-mode-controller-for-xbox.webp,7.49,18.36,16.48,11.95,19.19,21.44,B,C,3.77,13.270000000000001,30.7,5.11,Android;iOS;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"Price range: $ 56.51 – $ 69.99 , find on: Amazon",2026-04-19T20:15:45+03:00,android;hall;ios;linux;macos;verified;windows;xbox_one;xbox_series,yes
26,GameSir G7 SE,GameSir,gamesir-g7-se,https://gamepadla.com/gamesir-g7-se.html,26_gamesir-g7-se.webp,3.0,,,3.23,,,A+,,0.95,3.632222222222222,11.1,2.78,Linux;Windows;Xbox One;Xbox S/X,Cable,"Price range: $ 36.99 – $ 49.99 , find on: Amazon , sovrn.co",2025-07-19T13:39:44+03:00,hall;linux;macos;verified;windows;xbox_one;xbox_series,yes
173,Gulikit ES Pro,Gulikit,gulikit-es-pro,https://gamepadla.com/gulikit-es-pro.html,173_gulikit-es-pro.webp,1.75,,3.53,3.45,,3.7,A+,A+,0.91,3.9842857142857144,17.31,2.27,Android;iOS;Linux;Switch;Windows,Cable;Bluetooth,"$ 29.99 , find on: Amazon",2025-12-14T17:20:39+02:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
178,Razer Wolverine V3 Pro 8K PC,Razer,razer-wolverine-v3-pro-8k-pc,https://gamepadla.com/razer-wolverine-v3-pro-8k-pc.html,178_razer-wolverine-v3-pro-8k-pc.webp,1.87,1.87,,2.33,2.75,,A+,A+,1.28,2.205,3.47,0.34,Linux;Windows,Cable;Dongle,"$ 199.99 , find on: Amazon",2025-12-14T17:03:28+02:00,linux;tmr;verified;windows,yes
177,8BitDo pro 3,8BitDo,8bitdo-pro-3,https://gamepadla.com/8bitdo-pro-3.html,177_8bitdo-pro-3.webp,5.85,9.2,11.93,11.44,14.77,28.08,B,B,3.29,22.963333333333335,102.46,10.86,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 69.99 , find on: Amazon , Aliexpress",2025-08-14T22:20:55+03:00,android;ios;linux;macos;switch;symmetric;tmr;verified;windows,yes
174,Gulikit Elves 2,Gulikit,gulikit-elves-2,https://gamepadla.com/gulikit-elves-2.html,174_gulikit-elves-2.webp,1.85,,3.52,4.2,,5.13,A+,A,1.16,4.992,26.98,3.78,Android;iOS;Linux;Switch;Windows,Cable;Bluetooth,"$ 29.99 , find on: Amazon",2026-01-12T20:53:56+02:00,android;hall;ios;linux;macos;switch;symmetric;verified;windows,yes
168,GameSir T7 Pro Floral,GameSir,gamesir-t7-pro-floral,https://gamepadla.com/gamesir-t7-pro-floral.html,168_gamesir-t7-pro-floral.webp,3.96,,,,,,,,1.44,3.96,6.32,1.2,Linux;Windows;Xbox One;Xbox S/X,Cable,$ 49.99,2025-12-28T03:10:39+02:00,hall;linux;windows;xbox_one;xbox_series,yes
36,GuliKit KK3 MAX,Gulikit,gulikit-kk3-max-kingkong-3-ns39,https://gamepadla.com/gulikit-kk3-max-kingkong-3-ns39.html,36_gulikit-kk3-max-kingkong-3-ns39.webp,5.4,35.39,18.3,33.89,53.05,51.26,C,E,2.6,31.12857142857143,71.29,5.21,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 59.99 – $ 79.99 , find on: Amazon , Aliexpress , Hyperlink 2",2025-09-06T08:32:42+03:00,android;hall;ios;linux;macos;nfc;switch;verified;windows,yes
163,Razer Wolverine V3 Tournament Edition,Razer,razer-wolverine-v3-tournament-edition,https://gamepadla.com/razer-wolverine-v3-tournament-edition.html,163_razer-wolverine-v3-tournament-edition.webp,6.11,,,11.37,,,B,,3.24,11.24,24.96,1.43,Android;Linux;Windows;Xbox One;Xbox S/X,Cable,"$ 99.90 , find on: Amazon",2025-11-12T17:06:27+02:00,android;hall;linux;verified;windows;xbox_one;xbox_series,yes
156,8BitDo Ultimate 2 Bluetooth Controller,8BitDo,8bitdo-ultimate-2-bluetooth-controller,https://gamepadla.com/8bitdo-ultimate-2-bluetooth-controller.html,156_8bitdo-ultimate-2-bluetooth-controller.webp,6.31,8.36,11.06,16.21,18.1,29.68,B,B,4.14,16.63875,40.99,4.33,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 59.99 , find on: Amazon , Aliexpress",2025-12-16T15:38:20+02:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
107,Zuiki Evotop,Zuiki,zuiki-evotop,https://gamepadla.com/zuiki-evotop.html,107_zuiki-evotop.webp,2.94,3.72,38.39,4.54,5.48,44.51,A+,A,0.2,12.748181818181818,76.86,12.29,Android;iOS;Switch;Windows,Cable;Dongle;Bluetooth,$ 219.99,2025-12-14T16:53:43+02:00,android;display;hall;ios;macos;switch;verified;windows,yes
158,Xbox Elite Series 2 Core,Microsoft,xbox-elite-series-2-core,https://gamepadla.com/xbox-elite-series-2-core.html,158_xbox-elite-series-2-core.webp,8.52,14.81,11.1,9.23,11.05,14.98,B,B,4.9,11.586666666666666,24.9,4.45,Android;iOS;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"$ 139.99 , find on: Amazon",2025-12-18T20:13:08+02:00,android;ios;linux;macos;potentiometers;verified;windows;xbox_one;xbox_series,yes
15,Xbox Series Controller,Microsoft,xbox-core-controller,https://gamepadla.com/xbox-core-controller.html,15_xbox-core-controller.webp,6.5,7.21,12.23,8.3,8.88,12.98,B,B,2.78,9.608333333333333,29.18,4.14,Android;iOS;Linux;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"Price range: $ 44.99 – $ 64.95 , find on: Amazon",2023-08-17T13:46:21+03:00,android;ios;linux;macos;potentiometers;verified;windows;xbox_one;xbox_series,yes
132,Mojhon Aether,Mojhon,bigbigwon-aether,https://gamepadla.com/bigbigwon-aether.html,132_bigbigwon-aether.webp,3.87,10.19,10.24,15.12,22.61,20.87,B,C,3.03,13.927857142857144,27.56,2.8,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 29.99 , find on: Aliexpress , amazon.com",2026-07-21T12:33:09+03:00,android;display;hall;ios;linux;macos;switch;verified;windows,yes
157,ZD O+ Excellence,ZD,zd-o-excellence,https://gamepadla.com/zd-o-excellence.html,157_zd-o-excellence.webp,9.0,14.89,25.59,9.94,,,B,,3.76,16.23125,41.5,5.15,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 79.94 , find on: Aliexpress",2026-02-02T16:18:30+02:00,android;ios;linux;macos;optional;switch;verified;windows,yes
10,Google Stadia Controller,Google,google-stadia-controller,https://gamepadla.com/google-stadia-controller.html,10_google-stadia-controller.webp,2.99,,27.79,9.17,,28.08,A,D,1.3,17.0075,32.33,2.51,Android;Linux;Windows,Cable;Bluetooth,$ 69.99 Discontinued,,android;linux;macos;potentiometers;symmetric;verified;windows,yes
5,Gamesir T4 pro,Gamesir,gamesir-t4-pro,https://gamepadla.com/gamesir-t4-pro.html,5_gamesir-t4-pro.webp,8.58,14.56,16.65,11.96,19.38,20.89,B,C,4.58,16.58,40.9,5.37,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 24.74 – $ 35.99 , find on: Aliexpress , Amazon",2025-12-20T23:40:33+02:00,android;ios;linux;macos;potentiometers;switch;verified;windows,yes
75,BigBig Won Rainbow 2 Pro,Mojhon,rainbow-2-pro,https://gamepadla.com/rainbow-2-pro.html,75_rainbow-2-pro.webp,6.28,19.85,29.32,10.53,38.66,50.06,A,D,5.1,25.386875,60.45,4.07,Android;iOS;Switch;Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,"Price range: $ 21.65 – $ 64.99 , find on: Amazon , Aliexpress",2025-12-31T15:43:51+02:00,android;ios;potentiometers;switch;verified;windows;xbox_one;xbox_series,yes
83,GameSir G7 HE,Gamesir,gamesir-g7-he,https://gamepadla.com/gamesir-g7-he.html,83_gamesir-g7-he.webp,2.84,,,11.56,,,A,,2.35,12.021666666666667,33.58,1.06,Linux;Windows;Xbox One;Xbox S/X,Cable,"$ 49.99 , find on: Amazon , Aliexpress",2025-12-29T12:47:28+02:00,hall;linux;verified;windows;xbox_one;xbox_series,yes
11,Amazon Luna Controller,Amazon,amazon-luna-controller,https://gamepadla.com/amazon-luna-controller.html,11_amazon-luna-controller.webp,7.71,,25.91,10.4,,28.1,B,D,5.15,18.03,41.32,6.2,Android;iOS;Linux;Windows,Cable;Bluetooth,"Price range: $ 39.99 – $ 69.99 , find on: Amazon",2025-12-14T17:28:36+02:00,android;ios;linux;macos;potentiometers;verified;windows,yes
42,Flydigi Apex 4,Flydigi,flydigi-apex-4,https://gamepadla.com/flydigi-apex-4.html,42_flydigi-apex-4.webp,7.03,7.67,22.44,42.83,50.67,73.46,D,E,5.2,37.769999999999996,85.04,6.29,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 93.99 – $ 159.99 , find on: Amazon , Aliexpress",2025-12-19T00:03:07+02:00,android;display;hall;ios;linux;macos;switch;verified;windows,yes
73,Flydigi Vader 4 Pro,Flydigi,flydigi-vader-4-pro,https://gamepadla.com/flydigi-vader-4-pro.html,73_flydigi-vader-4-pro.webp,6.43,7.62,22.21,16.22,19.15,28.81,B,B,4.84,18.490000000000002,45.82,6.18,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,Price range: $ 59.99 – $ 79.99 Discontinued,2025-09-22T07:03:05+03:00,android;hall;ios;linux;macos;switch;verified;windows,yes
6,Sony DualSense Edge,Sony,sony-dualsense-edge,https://gamepadla.com/sony-dualsense-edge.html,6_sony-dualsense-edge.webp,3.46,,6.65,3.46,,6.76,A+,B,2.71,5.1375,27.94,4.06,Android;iOS;Linux;Playstation 5;Windows,Cable;Bluetooth,"Price range: $ 179.99 – $ 199.99 , find on: Amazon",2025-12-14T16:59:05+02:00,android;ios;linux;macos;potentiometers;ps5;symmetric;verified;windows,yes
144,Victrix Pro BFG,Turtle Beach,victrix-pro-bfg,https://gamepadla.com/victrix-pro-bfg.html,144_victrix-pro-bfg.webp,5.89,8.95,,18.54,20.94,,B,C,3.0,13.565833333333332,26.35,2.52,Linux;Playstation 4;Playstation 5;Windows,Cable;Dongle,"$ 159.99 , find on: Amazon",,linux;macos;potentiometers;ps4;ps5;verified;windows,yes
143,8BitDo Ultimate 2 Wireless Controller,8BitDo,8bitdo-ultimate-2-wireless-controller,https://gamepadla.com/8bitdo-ultimate-2-wireless-controller.html,143_8bitdo-ultimate-2-wireless-controller.webp,2.81,3.95,12.02,7.02,8.11,15.99,A,A,2.09,8.316666666666666,22.29,3.0,Android;iOS;Linux;Windows,Cable;Dongle;Bluetooth,"$ 59.99 , find on: Amazon",2025-11-24T04:50:15+02:00,android;ios;linux;macos;tmr;verified;windows,yes
2,8Bitdo Ultimate Bluetooth Controller,8BitDo,8bitdo-ultimate-bluetooth-controller,https://gamepadla.com/8bitdo-ultimate-bluetooth-controller.html,2_8bitdo-ultimate-bluetooth-controller.webp,10.11,9.75,11.54,16.42,12.55,18.06,B,B,5.08,13.071666666666667,36.29,4.93,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"Price range: $ 59.99 – $ 69.99 , find on: Aliexpress , Amazon",2025-12-16T10:20:05+02:00,android;hall;ios;linux;macos;switch;verified;windows,yes
114,Flydigi Direwolf 3,Flydigi,flydigi-direwolf-3,https://gamepadla.com/flydigi-direwolf-3.html,114_flydigi-direwolf-3.webp,5.25,6.26,30.08,,,,,,2.65,10.582727272727272,44.09,7.46,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,Price range: $ 29.99 – $ 39.99,2025-12-19T15:17:10+02:00,android;hall;ios;linux;switch;verified;windows,yes
78,Manba One v2,Manba,manba-one-v2,https://gamepadla.com/manba-one-v2.html,78_manba-one-v2.webp,2.11,14.19,17.91,7.51,45.15,38.54,A,E,0.29,18.192666666666664,61.73,8.43,Android;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 69.99 , find on: Amazon",2025-10-17T02:48:42+03:00,android;display;hall;linux;switch;verified;windows,yes
